Age,Occupation,purchase1,purchase2,purchase3,purchase4,purchase5
65,16,3834,5150,1426,19071,11477
24,20,4905,3177,1091,14452,7888
21,3,1998,8565,1154,21746,13207
26,2,3708,3128,524,24842,6037
63,1,1927,4630,994,21655,7554
53,5,4485,80,1548,16636,5123
45,1,2835,7520,1474,20009,9508
27,16,2716,13,2082,11536,6232
58,16,4599,9904,1654,17818,11734
25,19,123,1981,78,16295,7722
49,9,741,6721,780,7606,11832
23,5,3795,385,1155,805,10709
40,3,3553,3518,1355,24444,1883
60,19,1356,8340,557,3305,7842
62,13,1845,4613,1123,16456,7763
26,2,4221,2796,4,17221,5151
48,7,2419,9859,825,5006,12593
56,16,1166,2652,828,7452,14145
20,8,2293,8540,2349,21776,2646
18,9,3967,7009,1175,1676,14888
40,15,1316,3770,2203,6728,1079
35,12,889,9949,437,16677,9481
39,18,1981,6315,2340,15136,7398
56,1,4783,82,2016,14756,13629
32,11,2574,9700,2244,23930,10160
66,20,1568,698,531,6307,1609
29,10,1793,6518,387,22181,9341
70,17,1202,3879,1770,6604,3636
30,9,1022,902,2142,5924,4060
38,19,1679,8496,329,1733,4094
25,5,3120,954,1809,9870,14763
16,9,3672,8488,2466,10694,3135
29,3,4811,8252,1997,10259,7192
40,6,800,8520,1146,17817,14034
57,2,1796,154,2169,8342,6487
16,5,3759,6666,2431,10664,8409
16,15,4878,9509,206,22738,1081
48,2,2487,8266,1408,9137,7664
58,17,2254,8676,149,14585,6603
27,14,4205,1464,1916,16441,9124
69,15,251,1548,1516,21634,14798
20,6,137,3596,2440,23477,11981
32,1,1237,1915,1836,4855,10551
43,12,1360,9082,854,22930,2969
54,13,2022,6210,453,11962,4153
31,3,807,9156,1767,17039,6278
42,14,1124,7417,848,12160,2199
53,12,4878,2245,490,867,6769
67,8,4965,2118,2451,15788,12755
35,3,1331,3361,956,2463,14412
29,19,1791,9726,2379,21249,5486
18,4,2695,8299,1265,2245,1615
52,16,4546,7880,2006,16991,10934
50,3,4775,8171,843,23381,10322
48,18,4330,3791,744,14908,10981
55,2,2616,2880,541,1500,3495
69,11,2162,1630,2064,22344,14890
67,12,3043,1172,1744,15771,104
42,16,1741,907,896,15013,12445
32,12,1737,5158,1767,22482,4588
18,14,3493,6523,1070,21211,1426
35,20,2847,5624,2373,11800,2977
63,14,31,2632,2268,20075,10732
62,13,1314,5688,1195,13178,9963
28,10,3915,2931,701,10024,94
29,12,2341,4634,1673,16840,5761
25,20,3305,8794,1390,4361,561
38,13,2320,4192,313,14799,11753
60,5,3070,3278,1172,7039,11779
20,20,4304,5084,1663,15389,761
63,1,1554,7438,1800,22010,5318
